Bin Length: 100000
Num of Bins: 50
0	0.000155133
1	0.000153758
2	0.000095873
3	0.000074301
4	0.000053618
5	0.000041220
6	0.000035369
7	0.000024012
8	0.000022669
9	0.000020145
11	0.000016013
13	0.000013223
15	0.000010661
18	0.000009326
21	0.000009537
24	0.000008132
27	0.000007073
30	0.000006146
35	0.000004968
40	0.000004226
46	0.000003923
53	0.000003239
60	0.000003089
69	0.000002658
77	0.000002937
86	0.000002862
94	0.000002918
102	0.000003053
110	0.000003140
119	0.000002827
127	0.000003008
136	0.000002854
146	0.000002503
156	0.000002640
166	0.000002658
177	0.000002220
190	0.000001985
205	0.000001778
221	0.000001945
236	0.000001913
254	0.000001659
271	0.000002048
289	0.000001856
309	0.000001779
333	0.000001414
364	0.000001299
398	0.000001462
436	0.000001376
487	0.000001285
553	0.000001668
