Bin Length: 100000
Num of Bins: 50
0	0.000159728
1	0.000153923
2	0.000094791
3	0.000071786
4	0.000053763
5	0.000041174
6	0.000035741
7	0.000026051
8	0.000023025
9	0.000020349
11	0.000015717
13	0.000013926
16	0.000010577
19	0.000009688
22	0.000009179
25	0.000008094
28	0.000006763
31	0.000005987
36	0.000004549
41	0.000003867
47	0.000003783
54	0.000003199
61	0.000002996
70	0.000002758
78	0.000002771
87	0.000003106
95	0.000002853
103	0.000002893
112	0.000002932
120	0.000002875
128	0.000003139
137	0.000002941
146	0.000002560
156	0.000002707
166	0.000002630
177	0.000002212
190	0.000001869
207	0.000001651
224	0.000001839
240	0.000001798
258	0.000001733
275	0.000001965
293	0.000001876
312	0.000001893
336	0.000001420
366	0.000001344
399	0.000001429
437	0.000001398
484	0.000001390
549	0.000001491
